Voltage Range: ,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-08-2023 14_19_29,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Voltage_Applied,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,ARUDUINOID
0.5790,1.00,0.9842,-2.1250,0.9922,-2.2000,0.9922,-2.1250,0.9880,0.0000,0.9882,-2.2250,0.9942,-2.1750,1.0002,-2.1750,0.9812,-2.1000,1
1.1730,0.97,0.9562,-2.1000,0.9632,-2.1000,0.9642,-2.1000,0.9590,0.0000,0.9602,-2.1250,0.9642,-2.1500,0.9702,-2.1000,0.9522,-2.0250,1
1.7670,0.94,0.9282,-2.0000,0.9322,-2.0500,0.9352,-2.0250,0.9310,0.0000,0.9312,-2.0750,0.9322,-2.0000,0.9402,-2.0750,0.9242,-1.9750,1
2.3600,0.91,0.8972,-1.9250,0.9042,-1.9500,0.9042,-1.9750,0.9000,0.0250,0.9002,-2.0000,0.9042,-1.9000,0.9102,-1.9750,0.8932,-1.9000,1
2.9540,0.88,0.8682,-1.8250,0.8762,-1.9000,0.8752,-1.9000,0.8680,-0.0250,0.8722,-1.9000,0.8762,-1.8500,0.8802,-1.9000,0.8642,-1.8250,1
3.5490,0.85,0.8372,-1.7750,0.8442,-1.8000,0.8442,-1.8000,0.8400,0.0000,0.8422,-1.8500,0.8442,-1.8000,0.8502,-1.8250,0.8342,-1.7000,1
4.1430,0.82,0.8082,-1.7000,0.8142,-1.7000,0.8162,-1.7500,0.8120,-0.0250,0.8122,-1.7250,0.8152,-1.7000,0.8202,-1.7750,0.8042,-1.6250,1
4.7370,0.79,0.7802,-1.7000,0.7842,-1.6500,0.7842,-1.7000,0.7800,-0.0500,0.7822,-1.6750,0.7842,-1.6500,0.7892,-1.7000,0.7762,-1.6000,1
5.3310,0.76,0.7482,-1.6000,0.7562,-1.5500,0.7532,-1.6000,0.7510,-0.0250,0.7522,-1.6000,0.7552,-1.5250,0.7592,-1.5750,0.7451,-1.4500,1
5.9250,0.73,0.7202,-1.4750,0.7242,-1.5000,0.7242,-1.5250,0.7200,-0.0500,0.7212,-1.4750,0.7242,-1.5000,0.7282,-1.5500,0.7161,-1.4250,1
6.5190,0.70,0.6901,-1.4750,0.6931,-1.4250,0.6932,-1.5000,0.6920,-0.0500,0.6921,-1.4000,0.6961,-1.4000,0.7002,-1.4750,0.6861,-1.4000,1
7.1130,0.67,0.6601,-1.4000,0.6641,-1.4000,0.6641,-1.4250,0.6640,0.0000,0.6641,-1.3250,0.6651,-1.3750,0.6711,-1.4250,0.6561,-1.3250,1
7.7060,0.64,0.6311,-1.3250,0.6361,-1.3500,0.6361,-1.4000,0.6330,0.0000,0.6341,-1.3250,0.6361,-1.3500,0.6401,-1.3750,0.6281,-1.3250,1
8.3000,0.61,0.6001,-1.2750,0.6051,-1.3250,0.6041,-1.3250,0.6030,0.0000,0.6041,-1.3000,0.6071,-1.3000,0.6101,-1.3250,0.5961,-1.2500,1
8.8940,0.58,0.5711,-1.2500,0.5761,-1.3000,0.5761,-1.3000,0.5730,0.0000,0.5761,-1.3000,0.5761,-1.3000,0.5801,-1.3000,0.5681,-1.2000,1
9.4880,0.55,0.5421,-1.1500,0.5461,-1.2000,0.5471,-1.2500,0.5440,0.0250,0.5481,-1.2250,0.5461,-1.1750,0.5521,-1.2250,0.5401,-1.1750,1
10.0820,0.52,0.5121,-1.1000,0.5161,-1.1750,0.5161,-1.1750,0.5160,0.0250,0.5171,-1.2000,0.5171,-1.1500,0.5201,-1.2000,0.5081,-1.1000,1
10.6770,0.49,0.4841,-1.0250,0.4881,-1.1000,0.4881,-1.0750,0.4840,0.0250,0.4881,-1.1000,0.4881,-1.0750,0.4921,-1.1000,0.4801,-1.0500,1
11.2710,0.46,0.4531,-1.0000,0.4571,-1.0250,0.4571,-1.0000,0.4560,0.0000,0.4561,-1.0500,0.4561,-1.0000,0.4601,-1.0250,0.4521,-0.9750,1
11.8650,0.43,0.4241,-0.9000,0.4271,-0.9000,0.4271,-0.9750,0.4270,0.0000,0.4291,-0.9500,0.4281,-0.9500,0.4321,-0.9250,0.4201,-0.9000,1
12.4590,0.40,0.3951,-0.8500,0.3971,-0.8750,0.3971,-0.8750,0.3960,0.0000,0.4001,-0.9250,0.3971,-0.9000,0.4011,-0.9000,0.3901,-0.8500,1
13.0530,0.37,0.3641,-0.8000,0.3681,-0.8000,0.3671,-0.8000,0.3660,0.0000,0.3681,-0.8750,0.3671,-0.8000,0.3691,-0.8250,0.3601,-0.7500,1
13.6470,0.34,0.3341,-0.7000,0.3361,-0.7500,0.3361,-0.7750,0.3340,0.0000,0.3371,-0.7500,0.3361,-0.7500,0.3391,-0.7250,0.3291,-0.7000,1
14.2410,0.31,0.3041,-0.6500,0.3071,-0.6750,0.3051,-0.7000,0.3040,0.0250,0.3081,-0.7000,0.3081,-0.7000,0.3081,-0.7000,0.3001,-0.6000,1
14.8350,0.28,0.2761,-0.6000,0.2771,-0.6000,0.2761,-0.6250,0.2760,0.0000,0.2801,-0.6250,0.2791,-0.6000,0.2801,-0.6000,0.2721,-0.5500,1
15.4290,0.25,0.2470,-0.5000,0.2481,-0.5250,0.2451,-0.5750,0.2470,0.0250,0.2501,-0.5250,0.2491,-0.5250,0.2490,-0.5250,0.2421,-0.5250,1
16.0230,0.22,0.2160,-0.4500,0.2180,-0.4500,0.2160,-0.5000,0.2160,0.0000,0.2200,-0.5000,0.2200,-0.5000,0.2200,-0.5000,0.2120,-0.4750,1
16.6170,0.19,0.1850,-0.4000,0.1880,-0.3750,0.1880,-0.4250,0.1880,0.0250,0.1920,-0.4000,0.1890,-0.4000,0.1880,-0.4000,0.1820,-0.4000,1
17.2110,0.16,0.1560,-0.3500,0.1600,-0.3250,0.1560,-0.3250,0.1560,0.0250,0.1620,-0.3250,0.1600,-0.4000,0.1600,-0.3500,0.1540,-0.3000,1
17.8050,0.13,0.1260,-0.2000,0.1310,-0.2750,0.1280,-0.2500,0.1280,0.0000,0.1320,-0.3000,0.1320,-0.3000,0.1280,-0.2750,0.1230,-0.2250,1
18.3990,0.10,0.0960,-0.2000,0.1000,-0.2000,0.0980,-0.2000,0.0960,0.0000,0.1000,-0.2000,0.1000,-0.1750,0.0990,-0.2000,0.0920,-0.2000,1
18.9930,0.07,0.0680,-0.1000,0.0700,-0.1500,0.0660,-0.1750,0.0670,0.0000,0.0720,-0.1500,0.0700,-0.1250,0.0680,-0.1500,0.0640,-0.1000,1
19.5870,0.04,0.0370,-0.0250,0.0400,-0.1000,0.0360,-0.1000,0.0360,0.0000,0.0410,-0.1000,0.0400,-0.1000,0.0400,-0.1000,0.0360,-0.0750,1
20.1790,0.01,0.0090,0.0000,0.0080,0.0000,0.0060,0.0000,0.0080,0.0000,0.0100,0.0250,0.0090,0.0000,0.0080,0.0000,0.0080,0.0000,1
0.5780,0.00,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0250,0.0000,0.0250,1
1.1700,0.03,0.0280,-0.0250,0.0280,-0.0500,0.0280,-0.1000,0.0280,0.0000,0.0320,-0.0750,0.0320,-0.1000,0.0280,0.0000,0.0270,-0.0750,1
1.7630,0.06,0.0560,-0.1000,0.0600,-0.1000,0.0560,-0.1000,0.0570,0.0250,0.0620,-0.1250,0.0600,-0.1000,0.0600,-0.1000,0.0550,-0.1000,1
2.3570,0.09,0.0880,-0.1750,0.0910,-0.1750,0.0860,-0.2000,0.0880,0.0500,0.0920,-0.2000,0.0920,-0.1750,0.0880,-0.2000,0.0840,-0.1750,1
2.9510,0.12,0.1160,-0.2000,0.1200,-0.2500,0.1160,-0.3000,0.1160,0.0250,0.1220,-0.3000,0.1200,-0.2500,0.1200,-0.2500,0.1120,-0.2000,1
3.5450,0.15,0.1470,-0.3000,0.1510,-0.3000,0.1480,-0.3000,0.1480,0.0000,0.1520,-0.3250,0.1510,-0.3500,0.1500,-0.3000,0.1440,-0.3000,1
4.1390,0.18,0.1760,-0.3500,0.1790,-0.3750,0.1760,-0.4000,0.1760,0.0000,0.1800,-0.4000,0.1800,-0.4000,0.1800,-0.3750,0.1720,-0.3750,1
4.7330,0.21,0.2060,-0.4500,0.2080,-0.5000,0.2050,-0.5000,0.2070,0.0250,0.2111,-0.4500,0.2100,-0.5000,0.2100,-0.4750,0.2000,-0.4250,1
5.3270,0.24,0.2360,-0.5000,0.2381,-0.5250,0.2361,-0.5500,0.2360,0.0250,0.2401,-0.5250,0.2401,-0.5250,0.2401,-0.5000,0.2320,-0.5000,1
5.9210,0.27,0.2661,-0.5250,0.2671,-0.5750,0.2671,-0.6000,0.2660,0.0250,0.2691,-0.6000,0.2681,-0.6000,0.2681,-0.6000,0.2611,-0.5750,1
6.5150,0.30,0.2961,-0.6250,0.2961,-0.6750,0.2971,-0.6500,0.2960,0.0000,0.2991,-0.7000,0.3001,-0.7000,0.3001,-0.6500,0.2921,-0.6000,1
7.1090,0.33,0.3241,-0.7000,0.3281,-0.7250,0.3261,-0.7500,0.3260,0.0250,0.3281,-0.7500,0.3281,-0.7000,0.3281,-0.7000,0.3201,-0.7000,1
7.7030,0.36,0.3531,-0.7500,0.3561,-0.8000,0.3561,-0.8000,0.3540,0.0000,0.3601,-0.8000,0.3561,-0.8000,0.3601,-0.8000,0.3481,-0.7500,1
8.2970,0.39,0.3841,-0.8500,0.3881,-0.8750,0.3881,-0.8500,0.3840,0.0000,0.3881,-0.8750,0.3881,-0.8500,0.3891,-0.8500,0.3801,-0.8000,1
8.8910,0.42,0.4151,-0.9000,0.4171,-0.9000,0.4191,-0.9250,0.4160,0.0000,0.4191,-0.9500,0.4191,-0.9250,0.4221,-0.9250,0.4121,-0.9000,1
9.4840,0.45,0.4441,-0.9750,0.4471,-1.0000,0.4481,-1.0000,0.4440,0.0500,0.4481,-1.0000,0.4481,-1.0000,0.4521,-1.0000,0.4401,-0.9250,1
10.0780,0.48,0.4721,-1.0000,0.4781,-1.0250,0.4771,-1.0250,0.4760,0.0250,0.4781,-1.1000,0.4761,-1.1000,0.4801,-1.0750,0.4701,-1.0250,1
10.6720,0.51,0.5041,-1.1000,0.5081,-1.1000,0.5081,-1.1000,0.5040,0.0000,0.5081,-1.1500,0.5071,-1.1000,0.5121,-1.1250,0.4991,-1.1000,1
11.2660,0.54,0.5321,-1.1000,0.5361,-1.2000,0.5361,-1.1750,0.5350,0.0250,0.5371,-1.2000,0.5371,-1.2000,0.5411,-1.2000,0.5281,-1.2000,1
