Voltage Range (V): ,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,300,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,60,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-19-2024 13_53_16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
0.4450, 0.60, 0.04, 0.60, 0.04, 0.60, 0.00, 0.60, 0.04, 0.60, 0.06, 0.60, 0.06, 0.61, 0.02, 0.60, 0.06, 0.0375, 0.0377, 0.0000, 0.0375, 0.0565, 0.0566, 0.0190, 0.0559, 0
0.9020, 0.61, 0.04, 0.60, 0.02, 0.60, 0.00, 0.60, 0.00, 0.60, 0.06, 0.60, 0.06, 0.61, 0.02, 0.60, 0.04, 0.0680, 0.0491, 0.0000, 0.0300, 0.1018, 0.1019, 0.0342, 0.0820, 0
1.3600, 0.62, 0.08, 0.60, 0.00, 0.60, 0.02, 0.60, 0.02, 0.60, 0.08, 0.60, 0.06, 0.61, 0.02, 0.60, 0.02, 0.1319, 0.0393, 0.0189, 0.0427, 0.1567, 0.1382, 0.0464, 0.0842, 0
1.8170, 0.63, 0.04, 0.60, 0.02, 0.60, 0.02, 0.60, 0.00, 0.60, 0.08, 0.60, 0.04, 0.61, 0.04, 0.60, 0.02, 0.1448, 0.0503, 0.0340, 0.0342, 0.2009, 0.1483, 0.0751, 0.0860, 0
2.2750, 0.64, 0.06, 0.60, 0.02, 0.60, 0.00, 0.60, 0.02, 0.60, 0.06, 0.60, 0.04, 0.61, 0.00, 0.60, 0.00, 0.1758, 0.0591, 0.0272, 0.0461, 0.2173, 0.1564, 0.0601, 0.0688, 0
2.7320, 0.65, 0.06, 0.60, 0.00, 0.60, 0.00, 0.60, 0.00, 0.60, 0.08, 0.60, 0.02, 0.61, 0.00, 0.60, 0.02, 0.2014, 0.0473, 0.0217, 0.0369, 0.2492, 0.1440, 0.0481, 0.0736, 0
3.1900, 0.66, 0.06, 0.60, 0.02, 0.60, 0.02, 0.60, 0.00, 0.60, 0.06, 0.60, 0.06, 0.61, 0.02, 0.60, 0.02, 0.2230, 0.0567, 0.0363, 0.0295, 0.2560, 0.1719, 0.0574, 0.0775, 0
3.6470, 0.67, 0.02, 0.60, 0.04, 0.60, 0.00, 0.60, 0.02, 0.60, 0.06, 0.60, 0.06, 0.61, 0.04, 0.60, 0.02, 0.1993, 0.0831, 0.0290, 0.0424, 0.2613, 0.1942, 0.0840, 0.0807, 0
4.1050, 0.66, 0.10, 0.60, 0.02, 0.60, 0.00, 0.60, 0.04, 0.60, 0.08, 0.60, 0.02, 0.61, 0.04, 0.60, 0.06, 0.2625, 0.0854, 0.0232, 0.0714, 0.2844, 0.1742, 0.1052, 0.1204, 0
