Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-27-2023 17_05_12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
2.7510, 0.42, 3.50, 0.00, -2.70, -0.00, 0.08, 0.07, 3.18, 0.00, 0.03, ovf, ovf, ovf, ovf, 0.00, ovf, 2.1507, ovf, ovf, nan, 0.0008, -0.2441, ovf, ovf, 0
5.5100, 0.18, 4.30, 0.02, -3.50, 0.02, 0.07, 0.09, 3.92, 0.02, 0.03, ovf, ovf, ovf, ovf, 0.02, ovf, 2.6152, ovf, ovf, nan, 0.0049, -0.0548, ovf, ovf, 0
8.2690, 0.12, 4.53, 0.05, -3.78, 0.04, 0.12, 0.09, 4.08, 0.05, 0.03, ovf, ovf, ovf, ovf, 0.05, ovf, 2.7744, ovf, ovf, nan, 0.0098, 0.0011, ovf, ovf, 0
11.0280, 0.11, 4.56, 0.08, -3.87, 0.07, 0.08, 0.09, 4.14, 0.08, 0.01, ovf, ovf, ovf, ovf, 0.08, ovf, 2.7180, ovf, ovf, nan, 0.0025, 0.0237, ovf, ovf, 0
13.7880, 0.10, 4.59, 0.06, -3.79, 0.06, 0.07, 0.09, 4.16, 0.06, 0.00, ovf, ovf, ovf, ovf, 0.10, ovf, 2.7462, ovf, ovf, nan, 0.0006, 0.0372, ovf, ovf, 0
16.5460, 0.10, 4.55, 0.04, -3.75, 0.03, 0.04, 0.09, 4.14, 0.04, 0.00, ovf, ovf, ovf, ovf, 0.13, ovf, 2.7230, ovf, ovf, nan, 0.0002, 0.0288, ovf, ovf, 0
19.3050, 0.10, 4.51, 0.01, -3.79, 0.01, 0.09, 0.09, 4.11, 0.01, 0.03, ovf, ovf, ovf, ovf, 0.16, ovf, 2.7024, ovf, ovf, nan, 0.0000, 0.0541, ovf, ovf, 0
22.0640, 0.10, 4.53, 0.00, -3.77, 0.00, 0.07, 0.09, 4.10, 0.01, 0.01, ovf, ovf, ovf, ovf, 0.18, ovf, 2.6854, ovf, ovf, nan, 0.0000, 0.0737, ovf, ovf, 0
24.8220, 0.10, 4.51, 0.00, -3.74, 0.00, 0.07, 0.09, 4.13, 0.00, 0.00, ovf, ovf, ovf, ovf, 0.21, ovf, 2.6664, ovf, ovf, nan, 0.0000, 0.0497, -3765709312.0000, ovf, 0
27.5810, 0.10, 4.50, 0.00, -3.84, 0.00, 0.07, 0.09, 4.13, 0.00, 0.00, ovf, ovf, ovf, ovf, 0.24, ovf, 2.6617, ovf, ovf, nan, 0.0000, 0.0515, -941427328.0000, ovf, 0
30.3410, 0.10, 4.45, 0.00, -3.81, 0.00, 0.07, 0.09, 4.13, 0.00, 0.03, ovf, ovf, ovf, ovf, 0.26, ovf, 2.6309, ovf, ovf, nan, 0.0008, 0.0597, -235356832.0000, ovf, 0
33.1000, 0.10, 4.44, 0.00, -3.83, -0.00, 0.04, 0.09, 4.13, 0.00, 0.03, ovf, ovf, ovf, ovf, 0.29, ovf, 2.6232, ovf, ovf, nan, 0.0010, 0.0970, -58839208.0000, ovf, 0
35.8600, 0.10, 4.51, 0.00, -3.86, -0.00, 0.04, 0.09, 4.11, 0.00, 0.01, ovf, ovf, ovf, ovf, 0.32, ovf, 2.6657, ovf, ovf, nan, 0.0002, 0.0711, -14709798.0000, ovf, 0
