Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-09-2023 14_14_28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
2.9230, 0.18, 2.63, 0.17, 2.67, 0.18, 2.47, 0.04, 1.70, 0.16, 2.70, 0.18, 2.89, 0.20, 3.21, 0.19, 2.99, 3.4656, 3.1473, 3.0757, nan, 2.7687, 3.1441, 3.9380, 3.2906, 0
5.8580, 0.15, 3.01, 0.15, 3.04, 0.08, 2.81, 0.04, 2.05, 0.07, 2.80, 0.08, 3.00, 0.09, 3.27, 0.09, 3.12, 2.9121, 3.0922, 1.4081, nan, 1.3008, 1.4498, 1.8464, 1.6878, 0
8.7930, 0.26, 2.95, 0.27, 3.01, 0.13, 2.77, 0.04, 2.08, 0.14, 2.77, 0.13, 2.95, 0.13, 3.24, 0.14, 3.05, 5.0109, 5.3283, 2.3988, nan, 2.4409, 2.5464, 2.7349, 2.7304, 0
