Voltage Range: ,0.05,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-26-2023 14_48_03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Voltage_Applied,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,ARUDUINOID
0.0880,0.05,0.0760,0.0000,0.0867,0.0333,0.0800,0.1000,0.0840,0.0333,0.0853,0.0000,0.0800,0.0667,0.0760,0.0333,0.0840,0.0000,1
0.1860,0.02,0.0480,0.0333,0.0560,0.0667,0.0520,0.1000,0.0533,0.1000,0.0560,0.0000,0.0507,0.1000,0.0467,0.0333,0.0560,0.0667,1
0.2850,-0.01,0.0160,0.0333,0.0213,0.0667,0.0200,0.1000,0.0213,0.0333,0.0240,0.0000,0.0160,0.0667,0.0160,0.0667,0.0213,0.0000,1
0.0870,0.03,0.0000,0.0333,0.0013,0.0333,-0.0000,0.0333,-0.0000,0.1000,0.0013,0.0000,-0.0000,0.0667,-0.0000,0.0333,0.0000,0.0333,1
